Year,Month,WeekIndex,Genre,genre_weekly_score,weekly_position,spotify_track_preview_url,Performer,Song,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2011,December,1,Pop,4.528594981555971,1,https://p.scdn.co/mp3-preview/d808ccb1a59c5f21a14cf8da9974558f84366933?cid=b8d3901151d34489a160e3cf0ab1fa94,Adele,Someone Like You,4kflIGfjdZJW4ot2ioixTB,0.559,0.33,9.0,-8.250999999999998,1.0,0.0285,0.892,0.0,0.0975,0.2849999999999999,135.109,4.0
2011,December,1,Hip Hop,0.7161750111012415,2,https://p.scdn.co/mp3-preview/9b7c873ffd4d9893608532492679e0dfca0229f9?cid=b8d3901151d34489a160e3cf0ab1fa94,Flo Rida,Good Feeling,2LEF1A8DOZ9wRYikWgVlZ8,0.7059999999999998,0.89,1.0,-4.444,0.0,0.0688,0.0588,0.00286,0.3059999999999999,0.684,128.011,4.0
2011,December,1,Country,0.6787911396615083,3,https://p.scdn.co/mp3-preview/392e0d8fd8583f6f2788713afdccbc18d32cd2e4?cid=b8d3901151d34489a160e3cf0ab1fa94,Blake Shelton,God Gave Me You,0w9LJae3sVlZlH2CnxTInF,0.4829999999999999,0.8439999999999999,2.0,-5.043,1.0,0.0314,0.00481,7.3e-05,0.405,0.543,151.977,4.0
2011,December,1,Electronic,0.4158456486042693,4,https://p.scdn.co/mp3-preview/53e072ec1b741fd584c4688bfd1657a60c56a803?cid=b8d3901151d34489a160e3cf0ab1fa94,David Guetta Featuring Usher,Without You,1tAutlhI9FwnKn7fVgmd5P,0.6059999999999999,0.6119999999999999,2.0,-3.676,1.0,0.028,0.2109999999999999,4e-06,0.128,0.4769999999999999,127.882,4.0
2011,December,1,Soul,0.39129129129129125,5,https://p.scdn.co/mp3-preview/d808ccb1a59c5f21a14cf8da9974558f84366933?cid=b8d3901151d34489a160e3cf0ab1fa94,Adele,Someone Like You,4kflIGfjdZJW4ot2ioixTB,0.559,0.33,9.0,-8.250999999999998,1.0,0.0285,0.892,0.0,0.0975,0.2849999999999999,135.109,4.0
2011,December,1,Rock,0.38287761024784595,6,https://p.scdn.co/mp3-preview/db83e69f4ef8a49f5b77e367f7031cc3bcc41b1a?cid=b8d3901151d34489a160e3cf0ab1fa94,Foster The People,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,0.7329999999999999,0.71,5.0,-5.849,0.0,0.0292,0.1449999999999999,0.115,0.0956,0.965,127.975,4.0
2011,December,1,R&B,0.20974099357065407,7,https://p.scdn.co/mp3-preview/a5f69f8dace0a71241f6788c9329567b57bd4d63?cid=b8d3901151d34489a160e3cf0ab1fa94,T-Pain Featuring Wiz Khalifa & Lily Allen,5 O'Clock,6j236RwzFFj4wqH2tWJNBD,0.4,0.882,7.0,-1.958,0.0,0.334,0.168,0.0,0.124,0.385,167.114,4.0
2011,December,1,Soundtrack,0.12952975150902352,8,https://p.scdn.co/mp3-preview/8e481c208ed354b8c68759a830ba21fd68ddda0b?cid=b8d3901151d34489a160e3cf0ab1fa94,Glee Cast,Rumour Has It / Someone Like You,5iYUt3rsgrGFU0nugdhYwj,0.64,0.896,6.0,-3.221,0.0,0.0789,0.275,0.0,0.1469999999999999,0.751,123.071,4.0
2011,December,1,Indie,0.09523809523809523,9,https://p.scdn.co/mp3-preview/db83e69f4ef8a49f5b77e367f7031cc3bcc41b1a?cid=b8d3901151d34489a160e3cf0ab1fa94,Foster The People,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,0.7329999999999999,0.71,5.0,-5.849,0.0,0.0292,0.1449999999999999,0.115,0.0956,0.965,127.975,4.0
2011,December,1,Latin,0.0763029164927899,10,https://p.scdn.co/mp3-preview/3906aa5012624d4e35c2108207745eb48f3bdf0f?cid=b8d3901151d34489a160e3cf0ab1fa94,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",Give Me Everything,4QNpBfC0zvjKqPJcyqBy9W,0.671,0.939,8.0,-3.206,1.0,0.161,0.192,0.0,0.2979999999999999,0.529,129.023,4.0
