Year,Month,WeekIndex,Genre,genre_weekly_score,weekly_position
1970,June,1,Pop,3.257417550038701,1
1970,June,1,Rock,2.8108802776276254,2
1970,June,1,Comedy,1.0,3
1970,June,1,Soul,0.8437897851821865,4
1970,June,1,Folk,0.6211478659806927,5
1970,June,1,Easy Listening,0.5024757012700016,6
1970,June,1,R&B,0.3917211203079853,7
1970,June,1,Other,0.3441980510513328,8
1970,June,1,Classical,0.2,9
1970,June,1,Funk,0.16421621445130113,10
1970,June,2,Rock,2.2412832240639307,1
1970,June,2,Pop,2.0578439212523842,2
1970,June,2,Folk,0.6399334355770598,3
1970,June,2,Soul,0.6157062727399966,4
1970,June,2,Easy Listening,0.43630271775023644,5
1970,June,2,Comedy,0.3333333333333333,6
1970,June,2,R&B,0.2837241721086764,7
1970,June,2,Other,0.27971459005994065,8
1970,June,2,Classical,0.16666666666666666,9
1970,June,2,Funk,0.12348791559317875,10
1970,June,3,Rock,1.6813423042906235,1
1970,June,3,Pop,1.5906335980680544,2
1970,June,3,Soul,0.6497299350339794,3
1970,June,3,Folk,0.5111967288635769,4
1970,June,3,Easy Listening,0.42340530929423115,5
1970,June,3,R&B,0.31898341315408296,6
1970,June,3,Other,0.20468802735148298,7
1970,June,3,Funk,0.12508777768104326,8
1970,June,3,Country,0.10110327364803762,9
1970,June,3,Comedy,0.08333333333333333,10
1970,June,4,Pop,1.5515744151231992,1
1970,June,4,Rock,1.4421192693787779,2
1970,June,4,Soul,0.7239352631463989,3
1970,June,4,Easy Listening,0.5085849526228625,4
1970,June,4,R&B,0.3761108693688506,5
1970,June,4,Folk,0.29011154570476605,6
1970,June,4,Other,0.27808301936745305,7
1970,June,4,Funk,0.13999076791867096,8
1970,June,4,Country,0.07692307692307693,9
1970,June,4,Dance,0.06734209130026327,10
