Year,Month,WeekIndex,Genre,genre_weekly_score,weekly_position,spotify_track_preview_url,Performer,Song,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1964,November,1,Rock,4.789034832570503,1,https://p.scdn.co/mp3-preview/53137f286fbfe101c218feb222b9ac8b67b6449f?cid=b8d3901151d34489a160e3cf0ab1fa94,Manfred Mann,Do Wah Diddy Diddy,7ko2240lyr2DngGin6Fx37,0.661,0.557,4.0,-8.244,1.0,0.049,0.262,0.0,0.0557,0.957,125.445,4.0
1964,November,1,Pop,2.5439179925432236,2,https://p.scdn.co/mp3-preview/53137f286fbfe101c218feb222b9ac8b67b6449f?cid=b8d3901151d34489a160e3cf0ab1fa94,Manfred Mann,Do Wah Diddy Diddy,7ko2240lyr2DngGin6Fx37,0.661,0.557,4.0,-8.244,1.0,0.049,0.262,0.0,0.0557,0.957,125.445,4.0
1964,November,1,Soul,1.2704699203962195,3,https://p.scdn.co/mp3-preview/2ed7633bfa15a956eae46b24ba98bacc70483b8b?cid=b8d3901151d34489a160e3cf0ab1fa94,Betty Everett & Jerry Butler,Let It Be Me,4rmB4N9wNLiq18OT40mZvd,0.281,0.4229999999999999,10.0,-15.513,1.0,0.0406,0.561,0.00274,0.968,0.389,78.58,4.0
1964,November,1,Easy Listening,1.1370993494895314,4,https://p.scdn.co/mp3-preview/56b357ec239fa367a1c1dddd7bff07f37f6acbab?cid=b8d3901151d34489a160e3cf0ab1fa94,Dean Martin,The Door Is Still Open To My Heart,45tNymiGXb2afxk7opDlmA,0.2359999999999999,0.4289999999999999,3.0,-13.576,1.0,0.0467,0.7019999999999998,0.000106,0.0696,0.3559999999999999,84.686,4.0
1964,November,1,Blues,0.7401167307720596,5,https://p.scdn.co/mp3-preview/53137f286fbfe101c218feb222b9ac8b67b6449f?cid=b8d3901151d34489a160e3cf0ab1fa94,Manfred Mann,Do Wah Diddy Diddy,7ko2240lyr2DngGin6Fx37,0.661,0.557,4.0,-8.244,1.0,0.049,0.262,0.0,0.0557,0.957,125.445,4.0
1964,November,1,Other,0.5254516889238021,6,https://p.scdn.co/mp3-preview/c0c4ae62de5e5533f98dd6dc0efa394021cbef3a?cid=b8d3901151d34489a160e3cf0ab1fa94,J. Frank Wilson and The Cavaliers,Last Kiss,48obzdkQV1biEq8cPsGLys,0.746,0.4819999999999999,1.0,-7.918999999999999,0.0,0.0471,0.262,0.0,0.0671,0.698,135.202,4.0
1964,November,1,R&B,0.42631271384304276,7,https://p.scdn.co/mp3-preview/2ed7633bfa15a956eae46b24ba98bacc70483b8b?cid=b8d3901151d34489a160e3cf0ab1fa94,Betty Everett & Jerry Butler,Let It Be Me,4rmB4N9wNLiq18OT40mZvd,0.281,0.4229999999999999,10.0,-15.513,1.0,0.0406,0.561,0.00274,0.968,0.389,78.58,4.0
1964,November,1,Folk,0.1,8,https://p.scdn.co/mp3-preview/c309c2a758c74f775fa3f0e721cc9d357fbbbe97?cid=b8d3901151d34489a160e3cf0ab1fa94,Gale Garnett,We'll Sing In The Sunshine,3WYYzUlLrl4NVNeoKd7MnG,0.536,0.3509999999999999,11.0,-8.026,1.0,0.0266,0.762,0.0,0.22,0.532,106.73,4.0
1964,November,1,Jazz,0.08453996983408749,9,https://p.scdn.co/mp3-preview/eb2225ffa2132f987366558813ad787f1ff56a99?cid=b8d3901151d34489a160e3cf0ab1fa94,Tony Bennett,Who Can I Turn To (When Nobody Needs Me),2FXk3LhwfbziRcCg8Rp0fN,0.2369999999999999,0.2379999999999999,3.0,-11.999,1.0,0.0341,0.927,2e-05,0.0543,0.126,112.062,4.0
1964,November,1,Country,0.07739904472427268,10,https://p.scdn.co/mp3-preview/0636138b0c709558893d7a7c3e1a1db20c99cfb6?cid=b8d3901151d34489a160e3cf0ab1fa94,Lorne Greene,Ringo,5GHbWzjRy1XfnTf5rkA8bf,0.563,0.521,11.0,-12.568,1.0,0.311,0.8639999999999999,0.0,0.216,0.653,110.794,4.0
1964,November,2,Rock,4.334121904080893,1,https://p.scdn.co/mp3-preview/54e23fe0c09ccce734e19cb22194d9c04efc003f?cid=b8d3901151d34489a160e3cf0ab1fa94,The Honeycombs,Have I The Right?,3DzwsdqmeL60taVeshJ8WP,0.3679999999999999,0.891,1.0,-8.067,0.0,0.26,0.024,0.000611,0.194,0.527,142.216,4.0
1964,November,2,Pop,2.1687962473939626,2,https://p.scdn.co/mp3-preview/54e23fe0c09ccce734e19cb22194d9c04efc003f?cid=b8d3901151d34489a160e3cf0ab1fa94,The Honeycombs,Have I The Right?,3DzwsdqmeL60taVeshJ8WP,0.3679999999999999,0.891,1.0,-8.067,0.0,0.26,0.024,0.000611,0.194,0.527,142.216,4.0
1964,November,2,Easy Listening,1.351959824231904,3,https://p.scdn.co/mp3-preview/56b357ec239fa367a1c1dddd7bff07f37f6acbab?cid=b8d3901151d34489a160e3cf0ab1fa94,Dean Martin,The Door Is Still Open To My Heart,45tNymiGXb2afxk7opDlmA,0.2359999999999999,0.4289999999999999,3.0,-13.576,1.0,0.0467,0.7019999999999998,0.000106,0.0696,0.3559999999999999,84.686,4.0
1964,November,2,Soul,0.9529697028562066,4,https://p.scdn.co/mp3-preview/2ed7633bfa15a956eae46b24ba98bacc70483b8b?cid=b8d3901151d34489a160e3cf0ab1fa94,Betty Everett & Jerry Butler,Let It Be Me,4rmB4N9wNLiq18OT40mZvd,0.281,0.4229999999999999,10.0,-15.513,1.0,0.0406,0.561,0.00274,0.968,0.389,78.58,4.0
1964,November,2,Blues,0.4620519673933698,5,https://p.scdn.co/mp3-preview/53137f286fbfe101c218feb222b9ac8b67b6449f?cid=b8d3901151d34489a160e3cf0ab1fa94,Manfred Mann,Do Wah Diddy Diddy,7ko2240lyr2DngGin6Fx37,0.661,0.557,4.0,-8.244,1.0,0.049,0.262,0.0,0.0557,0.957,125.445,4.0
1964,November,2,Other,0.37467445539734695,6,https://p.scdn.co/mp3-preview/c0c4ae62de5e5533f98dd6dc0efa394021cbef3a?cid=b8d3901151d34489a160e3cf0ab1fa94,J. Frank Wilson and The Cavaliers,Last Kiss,48obzdkQV1biEq8cPsGLys,0.746,0.4819999999999999,1.0,-7.918999999999999,0.0,0.0471,0.262,0.0,0.0671,0.698,135.202,4.0
