Year,Month,WeekIndex,Genre,genre_weekly_score,weekly_position
1979,October,1,Rock,4.750930314978347,1
1979,October,1,Easy Listening,2.0465813237973722,2
1979,October,1,Pop,1.7547176299510048,3
1979,October,1,R&B,1.145700891528876,4
1979,October,1,Soul,0.8564977294117218,5
1979,October,1,Dance,0.7965357816570688,6
1979,October,1,Jazz,0.25396825396825395,7
1979,October,1,Folk,0.24346993586124022,8
1979,October,1,Funk,0.19016256307655538,9
1979,October,1,Country,0.16779788838612367,10
1979,October,2,Rock,5.189468505741445,1
1979,October,2,Easy Listening,2.7805088751732328,2
1979,October,2,Pop,2.1774833731996073,3
1979,October,2,R&B,1.6648743069795702,4
1979,October,2,Soul,1.3462121212121214,5
1979,October,2,Dance,0.8530640865486601,6
1979,October,2,Folk,0.2667707091620135,7
1979,October,2,Jazz,0.26666666666666666,8
1979,October,2,Funk,0.16475468975468976,9
1979,October,2,Country,0.12543639156542383,10
1979,October,3,Rock,5.364173985806449,1
1979,October,3,Easy Listening,4.470202474020091,2
1979,October,3,Pop,1.6618872272505283,3
1979,October,3,R&B,1.1575768049155146,4
1979,October,3,Dance,1.0047473477700402,5
1979,October,3,Soul,0.8047580645161291,6
1979,October,3,Jazz,0.24583333333333335,7
1979,October,3,Folk,0.2042837708130062,8
1979,October,3,Funk,0.145752688172043,9
1979,October,3,Soundtrack,0.05555555555555555,10
1979,October,4,Rock,5.453284574246392,1
1979,October,4,Easy Listening,4.60504852642423,2
1979,October,4,Pop,1.618174341602619,3
1979,October,4,Dance,1.2042375447581655,4
1979,October,4,R&B,0.9792636478546459,5
1979,October,4,Soul,0.6150591743546734,6
1979,October,4,Jazz,0.2279843444227006,7
1979,October,4,Folk,0.1737415824915825,8
1979,October,4,Funk,0.13642669572219474,9
1979,October,4,Metal,0.02702702702702703,10
